Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_103,2015,0.14812507,0,335.3089,0.004886685,0.0625825,3256.4792,336.16727,0.00044,46.19798,118.67638,12.474085,5.002876
Grid_Cell_103,2016,0.16655584,0,349.2315,0.005333157,0.054878302,2870.6936,380.83813,0.000842,39.74852,145.68524,12.07345,4.6821265
Grid_Cell_103,2017,0.16533226,0,262.50748,0.005071856,0.062360447,3196.403,236.67229,0.001636805,44.656174,132.69514,12.46084,4.953613
Grid_Cell_103,2018,0.15170318,263,283.93674,0.004864997,0.07035717,3380.9963,321.8141,0.000845,47.5708,122.66949,12.726496,5.008063
Grid_Cell_103,2019,0.12584387,70,284.75555,0.00519344,0.06269866,3191.5833,225.01692,0.000437,48.673775,133.33981,13.139887,4.77772
Grid_Cell_103,2020,0.11998726,75,284.17377,0.004786652,0.06295072,3636.8005,290.81726,0.000465,50.526356,125.6101,13.349787,5.2712436
Grid_Cell_103,2021,0.13201016,161,366.72784,0.005194351,0.061279036,3332.8271,408.25403,0.000525,41.284103,131.92192,13.315943,5.045249
Grid_Cell_103,2022,0.14893493,449,418.08267,0.005051917,0.05719335,3402.1538,447.58655,0.000823,37.056896,161.73303,13.160181,5.292325
Grid_Cell_103,2023,0.1322022,3063,420.0141,0.005472374,0.055539206,3259.6506,416.2417,0.000693,39.506573,161.80124,13.861231,5.1961865
Grid_Cell_103,2024,0.13162827,13110,336.37103,0.004813423,0.068385735,3665.371,350.61423,0.000751,50.991703,157.82646,13.55575,5.170019
Grid_Cell_103,2025,0.1284609,16728,406.07684,0.00526279,0.054800782,3291.867,401.84018,0.00048,46.57622,149.069,13.619928,4.7521863
Grid_Cell_104,2000,0.14733611,0,340.07275,0.004984588,0.1976577,2915.746,387.37888,0.000684,44.158558,191.77347,11.150324,4.271554
Grid_Cell_104,2001,0.16748178,0,373.62827,0.005469814,0.15248637,2600.716,490.02948,0.000764,43.055412,217.09424,11.07641,4.2569447
Grid_Cell_104,2002,0.20886667,0,441.9909,0.005011892,0.22307014,2597.294,456.82166,0.00174988,37.293957,253.1177,10.653803,3.993303
Grid_Cell_104,2003,0.19405602,0,400.00183,0.005434907,0.12366389,2262.299,401.0688,0.002536065,35.822876,257.0381,9.703791,4.1483626
